valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;tipo;suite;academia;varanda;transporte;salao;planejado;acabamento
380000;.VENHAM CONHECER NOSSAS CHÁCARAS NA PLANTA.  SUA CHACARA PRONTA EM ATE 180 DIAS , CONDOMINIO SEM TAXAS COM OTIMA TOPOGRAFIAS , TERRENOS 100% PLANOS , BEM LOCALIZADAS E COM UM PREÇO...;Rua Major Juvenal Alvim; Mato Dentro;2;3;2;600;0;0;Nenhuma;8;0;0;0;0;0;0;0
535000;Apartamento localizado a 700 Ms do METRÔ Santana no decimo quarto andar Contendo 3 dormitórios sendo um suíte com armários embutidos e Piso madeira maciça Indusparquet , sala ampla...;Rua Doutor Olavo Egídio; Santana;3;1;3;85;2400;793;Destaque;2;1;0;0;0;0;0;0
290000;Casa com 2 dormitórios, sala , cozinha, banheiro , garagem coberta para 4 carros, quintal Edícula com 1 quarto, cozinha, banheiro, 2 cômodos pequenos para despensa  Agende sua visi...;Jardim Basilicata; Sumare;3;4;2;100;0;0;Nenhuma;6;0;0;0;0;0;0;0
560000;Excelente casa duplex no Jardim Atlântico em Itaipuaçu  Casa duplex com excelente espaço para quem tem família grande composta por: 4 quartos, sendo 2 suítes e closet, sala ampla,...;Rua Trinta e Dois; Jardim Atlântico Oeste;4;3;3;130;0;0;Nenhuma;6;1;0;0;0;0;0;0
530000;Venha morar na melhor localização de Itaipuaçu próximo de todos os comércios da região e a poucas quadras da praia.  Excelente Casa de alto com 3 quartos, sendo um suíte, sala ampl...;Rua Cento e Cinquenta e Um; Jardim Atlantico Leste Itaipuacu;3;2;3;105;0;0;Nenhuma;6;1;0;0;0;0;0;0
450000;A fazenda/sítio/chácara está localizado no bairro Centro com 600 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui espaço gourmet, espaço jardinado, playground, la...;Praça Três Poderes; Cachoeira ;3;3;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
3499994;Condomínio Residencial Florais dos Lagos  Deseja encontrar o imóvel certo que irá acolher os melhores momentos do seu dia? Oferecendo conforto, praticidade, segurança e tranquilida...;Condomínio Residencial Florais dos Lagos ; Cuiabá;3;4;4;282;5212;600;Super destaque;9;0;0;0;0;0;0;0
500000;COBERTURA DUPLEX EM VILA ISABEL à venda, Rua Teodoro da Silva, desocupada, fácil visitação, proximidades Shopping, comércio e condução, prédio com play, salão de festas e portaria...;Vila Isabel; Rio de Janeiro;2;2;2;84;996;1131;Super destaque;2;0;0;0;0;1;0;0
5000000;Localização Privilegiada   Próximo Minas Tênis Clube.  IMÓVEL ENCONTRA SE ATUALMENTE DESOCUPADO !! GRANDE OPORTUNIDADE !!  Prédio: Revestido em granito e concreto aparente, hall so...;Rua Felipe dos Santos; Lourdes;4;3;4;529;1836;3400;Super destaque;9;0;0;0;0;0;0;0
387000;A casa está localizado no bairro Residencial Parque dos Sinos com 123 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros trj;Rua Expedicionário Américo Pereira da Silva; Residencial Parque Dos Sinos;3;2;2;123;0;0;Nenhuma;6;1;0;0;1;0;0;0
125000;Vila Verde Iguaraçu Paraná  Excelente terreno  Para você que busca um lugar tranquilo para morar ou fazer sua área de laser ,tenho esta excelente opção para você. Direito de terren...;; Iguaraçu;1;0;1;600;0;0;Nenhuma;5;0;0;0;0;0;0;0
395000;Apto 63,93m2, 3 dormitórios (hoje expandida sala) ficam 2 dorm, sendo 1 suíte, sala com varanda, cozinha americana, lavanderia, 1 vaga de garagem, Fino acabamento . Lazer completo....;Móoca; São Paulo;3;1;2;64;120;320;Nenhuma;2;1;0;1;0;0;0;0
300000;Conj. Versailles, Residencial Fechado do lado do Parque Mosaico no Planalto! . Guarita 24 hrs Câmeras de segurança 24 hrs Interfone nas casas . Casas de 03 dormitórios, sendo, 01 s...;Rua Sicília; Planalto;3;2;2;79;0;0;Destaque;6;0;0;0;0;0;0;0
800500;Apartamento no Cabral com 86m² com 3 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, área de recreação infantil, salão de festas.Churrasqueira para você...;Rua Deputado Joaquim José Pedrosa; Cabral;3;2;2;86;0;0;Destaque;2;1;0;0;0;1;0;0
900000;CONDOMÍNIO ABSOLUTE ACLIMAÇÃO (NOVO)  R$ 900.000  . Apartamento com 67m² 2 Dormitórios 2 Banheiros (Sendo 1 Suíte) 2 vagas  . Sobre o Condomínio:   Elevador   Sauna   Piscina   Chu...;Rua Paula Ney; Aclimação;2;2;2;67;0;0;Destaque;2;1;0;0;0;0;0;0
440000;Imobiliária em Campinas Homegods.  Tenha segurança na compra ou locação do imóvel.  Garantimos um atendimento singular, além de agilidade no decorrer da negociação até o fechamento...;Rua José Luiz Camargo Moreira; Mansões Santo Antônio;2;2;2;62;120;580;Destaque;9;0;0;0;0;0;0;0
315000;Maison Icaraí  Duplex com 3 quartos no Icaraí em condomínio fechado.  São casas com 89 m² distribuídos em:  3 quartos, sendo duas suítes Banheiro social Sala de estar e jantar Cozi...;Avenida Central; Icarai;3;2;3;89;0;0;Nenhuma;6;1;0;0;0;0;0;0
400000;11/02   Ref. Imovel: V23645   Casa Padrao   3 quartos com armarios embutidos, sendo 1 suite, banheiro social, sala ampla, copa, cozinha, lavanderia, quintal, 3 vagas de garagem.;Independência; Ribeirão Preto;3;3;2;250;0;0;Nenhuma;6;1;0;0;0;0;0;0
480000;Apartamento com 2 quartos, suite, vaga e lazer completo, bem localizado ao lado do Norte Shopping, perto de tudo e transporte para todo o Rio de Janeiro, metrô, trem, onibus.. pron...;Avenida Dom Hélder Câmara; Cachambi;2;1;1;60;0;600;Nenhuma;2;1;0;0;1;0;0;0
150000;APARTAMENTO EM AQUIRAZ!!! VALOR DO IMÓVEL: R$ 150.000,00. PRONTA PARA VOCÊ MORAR!!! 65 M² área construída. 02 QUARTOS (01 SUITE) 01 BANHEIRO SOCIAL SALA DE ESTAR / JANTAR COZINHA Á...;; Aquiraz;2;2;2;65;0;1;Nenhuma;2;1;0;0;0;0;0;0
220000;Excelente Residencia, ótima localização, Próximo do Shopping Reis Magos, terraço, sala para 2 ambientes, 3 quartos sendo 1 suite, wc social, cozinha, área de serviço, 2 vagas de ga...;Nova Parnamirim; Parnamirim;3;2;2;200;0;0;Nenhuma;9;1;0;1;0;0;0;0
170000;Oportunidade única!!!  Entrada a partir de R$ 31.000 Parcelas a negociar  Apartamento com 3 quartos (1 suíte), sala, banheiro, cozinha, e garagem  Financia por qualquer banco  Util...;Rua Catucaia; Conceição;3;1;1;83;0;0;Nenhuma;2;1;0;0;0;0;0;0
145000;CASA DISPONÍVEL NO ÓTIMO BAIRRO DE FEIRA DE SANTANA  ESTE É O MOMENTO DE SAIR DO ALUGUEL COM OTIMAS CONDIÇÕES...  ENTRADA PARCELADAS NO CARTÃO A PARTIR: R$ 8.290,00 E PARCELAS MEDI...;Centro; Feira de Santana;3;0;1;140;0;0;Nenhuma;6;0;0;0;0;0;0;0
198000;"LANÇAMENTO  Casas de 3 quartos no Tabapua, Caucaia/ CE  Casas com 78m² de área construída Terreno 6,25m x 20m  3 quartos, sendo 1 suíte com jardim exclusivo; wc social ampla sala d...";Rua 5; Tabapuã;3;2;2;78;0;0;Nenhuma;6;1;0;0;0;0;0;0
450000;Mega sobrado de 3 quartos e amplo terreno nos fundos no Bairro Nova Palhoça por R$ 450 mil   CONDIÇÕES DE PAGAMENTO:   Entrada à partir de R$ 80 mil    Financiamos pela Caixa e out...;Avenida Vidal Procópio Lohn; Nova Palhoça;3;2;3;100;0;0;Nenhuma;8;0;0;0;0;0;0;0
415000;Casa de boneca, aconchegante no Butantã Com 2 suítes, com armários embutidos, sala para 02 ambientes, cozinha planejada, quintal, 01 vaga de garagem coberta. Acesso fácil para o Ro...;Rua José de Martini; Butantã;2;1;2;120;100;0;Nenhuma;6;1;0;0;0;0;1;0
380000;ESTA LINDA CASA ESTA DISPONIVEL NO BAIRRO SIM.  ESTE É O MOMENTO DE SAIR DO ALUGUEL COM OTIMAS CONDIÇÕES...  ENTRADA A PARTIR: R$ 67.097,00 + PARCELAS AJUSTAVEL A SUA RENDA(MEDIANT...;Centro; Feira de Santana;3;2;2;180;0;0;Nenhuma;6;0;0;0;0;0;0;0
750000;Apartamento Padrão (LINDO PRONTO PARA MORAR FINO ACABAMENTO)   2 dormitórios   1 suíte   cozinha americana com armários planejados   área útil 68m2   2 vaga   Metrô Chácara Klabin...;Chácara Klabin; São Paulo;2;2;2;68;200;900;Nenhuma;2;1;0;0;0;0;1;1
389000;A casa no bairro Loteamento Villa Branca possui 80 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros;Rua Flávio de Carvalho; Loteamento Villa Branca;2;2;2;80;0;0;Nenhuma;5;1;0;0;1;0;0;0
430000;Venha conhecer essa linda casa muito bem localizada na Guilhermina em Praia Grande! Obtendo 130 m² de área útil muito bem distribuídos por 03 dormitórios, sendo 02 suítes, sala, co...;Rua Rubens Ferreira Martins; Vila Guilhermina;3;3;3;130;337;0;Nenhuma;6;1;0;0;0;0;0;0
600000;Oportunidade de beira mar na Pajuçara, com dois quartos, todo mobiliado😍  São 62 metros quadrados compondo sala integrada com varanda, dois quartos amplos, wc espaçoso, cozinha, á...;Avenida Doutor Antônio Gouveia; Pajuçara;2;1;2;62;0;700;Super destaque;9;0;0;1;1;0;0;0
1650000;Amplo sobrado com enorme terraço. São 340 m² de área útil em terreno de 300 m². Dispõe de 3 dormitórios/ 3 suítes, salas de jantar, estar e de TV, lavabo, copa/ cozinha, lavanderia...;Rua Prudente de Moraes Neto; Saúde;3;4;4;340;344;0;Super destaque;8;1;0;1;0;0;0;0
1400000;Condomínio bem localizado em frente escola Americana, melhor Rua do bairro.  Bairro com tudo o que você precisa. Colégios como Porto Seguro, Pueri Domus, Miguel de Cervantes, Santo...;Avenida José Galante; Morumbi;4;4;5;336;1800;3800;Super destaque;9;0;0;0;0;0;0;0
260000;O apartamento no bairro Chácara Nossa Senhora do Bom Conselho possui 56 metros quadrados com 2 quartos e 1 banheiro Possui área de fitness, jardim, parquinho infantil, salão para f...;Rua Nossa Senhora do Bom Conselho; Chácara Nossa Senhora do Bom Conselho ;2;1;1;56;12;480;Nenhuma;2;0;0;0;1;1;0;0
499000;Apartamento próximo ao metro Santana, com 02 dormitórios, sendo 01 suite, com armários planejados. Sala com ar condicionado, integrada a cozinha, também com armários planejados. Ap...;Rua José Debieux; Santana;2;2;2;63;200;750;Nenhuma;2;1;0;0;1;0;1;1
430000;CÓDIGO: (EXR) TR76581  Entra em contato conosco mais maiores informações sobre o apartamento e o empreendimento!  =============================  Preço/Condição REFERENTE para o mês...;Rua Carlos Barbosa; Papicu;3;2;3;112;0;0;Nenhuma;2;0;0;0;0;0;0;0
240000;O apartamento está localizado no bairro Jardim Mitsutani tem 46 metros quadrados com 2 quartos e 1 banheiro Possui espaço jardinado, área de brinquedo para as crianças, salão de fe...;Estrada Pirajussara-Valo Velho; Jardim Mitsutani;2;1;1;46;12;402;Nenhuma;2;0;0;0;1;1;0;0
265000;Casa 2 Dormitórios   Campos dos Alemães  Casa, com 81m de área construída, 140m de terreno, possui uma jacuzzi no fundo, área gourmet com cobertura retrátil. garagem para 2 carros...;Campo dos Alemães; São José dos Campos;2;1;1;140;0;0;Nenhuma;2;0;0;0;0;0;0;0
220000;A fazenda/sítio/chácara está localizado no bairro Verava possui 90 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui espaço gourmet, espaço jardinado, parquinho in...;Verava; Ibiúna;3;3;2;90;0;0;Nenhuma;9;1;0;0;1;0;0;0
450000;Casa em Condomínio para Venda no bairro Recreio Ipitanga, localizado na cidade de Lauro de Freitas / BA.     Com 3 dormitórios, sendo 3 suítes, possui 4 banheiros, 2 vagas de garag...;Rua Rio das Graças; Recreio Ipitanga;3;2;4;152;0;0;Destaque;6;1;0;0;0;0;0;0
550000;O apartamento está localizado no bairro Cocó possui 69 metros quadrados com 3 quartos sendo 2 suites e 2 banheirosFica em um condomínio fechado.  =============================  Pre...;Rua Deusdedit Costa Sousa; Cocó;3;2;2;69;0;0;Nenhuma;2;1;0;0;1;0;0;0
238900;  GREEN PARK   RESIDENCIAL E COMERCIAL    *Cotas de participação a preço de custo   2 e 3 dormitórios de 59 a 84 m²   Opções de coberturas e unidades com quintal     Todas unidades...;Rua Anápolis; Parque Industrial;2;1;2;59;0;300;Nenhuma;2;0;0;0;0;0;0;0
477000;O apartamento está localizado no bairro Vila Andrade tem 67 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui parquinho com diferentes brinquedos, espaço gourmet, s...;Rua José da Silva Ribeiro; Vila Andrade;2;1;2;67;2000;660;Destaque;2;1;0;0;1;0;0;0
270000;Apartamento   Jardim América   Residencial Spazio Campo Azuli   55m²   2 Dormitórios.  O condomínio Spazio Campo Azuli está localizado no Jardim América, possui fácil acesso às pri...;Rua Mar Del Plata; Jardim América;2;1;2;55;400;250;Nenhuma;2;0;0;0;0;0;0;0
270000;USE SEU FGTS, ENTRADA FACILITADA  Compre seu imóvel com a menor taxa do mercado 1.8% ao ano.  Abaixo algumas simulações de crédito:  CASAS DE R$ 250.000,00 Entrada: R$ 62.500,00  1...;Rua Aracaju; Vila Alzira;2;1;2;60;0;0;Nenhuma;6;0;0;0;0;0;0;0
350000;2 Dorm 1 Suite, Sacada, Andar alto, ótima localização    65m²   2 Dormitórios sendo uma suíte   Sala   Cozinha   2 Banheiros   Área de serviços   01 Vaga de Garagem  Diferenciais E...;Rua Palmares; Parque Industrial;2;1;2;65;0;345;Nenhuma;9;1;0;1;0;0;0;0
170000;.;Guarani; Novo Hamburgo;1;0;1;290;0;0;Nenhuma;9;0;0;0;0;0;0;0
185000;O apartamento está localizado no bairro Passaré tem 53 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui playground, salão de festas. Vai lhe possibilitar curtir os...;Rua 08H; Passaré;2;1;2;53;500;260;Nenhuma;2;1;0;0;1;1;0;0
291600;O Versati Jardim Satélite está localizado no bairro Jardim Satélite com 53 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros possui Varanda Gourmet e infraestrutura para A...;Rua Scorpius; Jardim Satélite;2;1;2;53;0;450;Nenhuma;9;1;0;1;1;0;0;0
560000;Casa Linear em ITAIPUAÇU COM 3 QUARTOS  ;Rua Sessenta e Sete; Jardim Atlantico Leste Itaipuacu;3;3;3;115;0;0;Nenhuma;6;0;0;0;0;0;0;0
350000;Vendo   Aceita permuta por casa em condomínio até 550 mil. Apartamento 2 Dormitórios com Armários, sendo 1 Suíte, Sala 2 Ambientes com Varanda, 2 Vagas Cobertas.  **Condomínio sem...;Jardim Europa; Sorocaba;2;2;2;88;45;300;Nenhuma;2;1;0;1;0;0;0;0
229653;O apartamento está localizado no bairro Parque Santo Antônio possui 50 metros quadrados com 2 quartos e 1 banheiro. A alguns minutos de escolas, restaurantes, farmácias, padarias,...;Rua Antônio Ramos Rosa; Parque Santo Antônio;2;1;1;50;12;360;Nenhuma;2;0;0;0;1;0;0;0
320000;Nada mais digno que uma casa com uma fachada imponente e com o design diferente do mercado para dar aquele toque de único a sua moradia. Casa com 3 quartos sendo uma suíte, banheir...;Setor Morada dos Pássaros; Aparecida de Goiânia;3;3;2;105;0;0;Nenhuma;6;1;0;0;0;0;0;0
